Q,A,label
나도 혈압이 높은 편인데… 요즘 몸도 안 좋고 해서 자꾸 걱정이 되네..,너무 걱정하지 마세요. 현대의학을 믿자구요.,1
나도 이러기 싫은데 자꾸 건강을 걱정하게 돼. ,걱정이 없던 병도 만들 수 있어요. 머리를 비울 수 있게 영화를 한 편 보는 건 어때요?,1
근데 아무리 생각해도 문제가 없을 것 같지 않은 거예요.,,1
내내 이렇게 누워서 환자 생활만 하면 어떡하죠?,,1
호르몬에 문제가 있어서 이런걸 까봐 너무 걱정이 돼.,,1
병원에 갔더니 별 이상은 없다고 하는데… 그래도 계속 걱정이 되네요.,,1
무슨 큰 병이라도 걸린게 아닐까 너무 걱정 되네요.,,1
병원에 가면 치료 의지가 생기는데 집에만 오면 다시 걱정을 해요.,,1
위염이 위암이나 다른 암으로 발전하면 어떡하지. 이런 생각을 많이 하는 것 같아요. ,걱정이 많이 될 거 같아요. 한번 병원에 가서 진찰을 받아보는 건 어때요?,1
괜히 진짜 큰 병이면 어쩌나 싶기도 하고… 별거 아닌 걸로 병원 가는 것도 좀 그렇기도 하고. ,저도 그 마음 이해해요. 하지만 긍정적으로 한번 생각해보자구요.,1
"수술도 잘 됐고, 의사도 회복만 잘 하면 된다는데 자꾸 걱정이 돼요.",건강은 늘 걱정되는 부분인 것 같아요. ,1
"원래 병에 잘 걸리지 않는 편이었는데, 한 번 심장이 이상하다고 느끼니까 건강 걱정이 늘었어요.",,1
"아, 내가 길 가다가 갑자기 확 쓰러지는 건 아닐까요? ",,1
병원에서 몸에 큰 이상이 있다고 하면 어떡하죠?,,1
한번 그러고 나서는 건강 걱정이 많아졌어. ,,1
"근데 너무 감정이입해서 봤는지, 나도 암에 걸리면 어떡하지라는 생각이 막 드는거에요.",,1
큰 병이면 어떡하나 걱정 돼서 병원도 못 가겠어.,,1
계속 병원에만 있다 보니까 진짜 문제 있을까봐 걱정이야.,,1
몸에 무슨 문제 있는 건가 걱정도 되고…,,1
어딘가 잘못됐을까요?,,1
다른 병원에 가서 진찰을 좀 더 받아보는 게 맞을까?,,1
학자금은 언제 다 갚나… 아직도 몇 년은 더 남았는데… ,돈 문제로 걱정이 많으시군요. 그럴 때는 정말 막막한 것 같아요.,1
경제적인 문제만 좀 풀려주면 좋겠는데… 쉽지가 않네요.,이럴 때 복권이라도 당첨되면 좋을 텐데요.,1
언제쯤 저는 돈 걱정 없이 살 수 있을까요?,마음이 힘드시겠어요. 돈 걱정 없는 세상이 얼른 왔으면 좋겠어요.,1
내가 나중에 이걸 관두면 나는 그럼 어떡하지? 뭘 해 먹고 살지? 돈은?,,1
당장 해결해야 하는 치료비 때문에 걱정이 많았어.,,1
걱정이 되게 많았거든요. 등록금도 그렇고 생활비도 그렇고… 다 돈 문제…,,1
당장 다음 달 월세도 내야 하고 그런데… 아무래도 돈 걱정이 제일 커.,,1
근데 그것도 잠시였고 한 달만 지나니까 막 돈 걱정이 되는 거예요.,,1
내가 이 회사를 다니는 게 맞나… 그런 생각도 들고요. ,걱정이 되는 그 마음 이해해요. 멋진 미래를 꿈꾸기에는 세상이 너무 팍팍한 것 같아요.,1
앞으로 집은 어떻게 사나 싶어요. ,언젠가는 나아질 거라는 믿음이 사람을 버티게 만들어주는 것 같아요.,1
좋은 환경에 있어도 잘될까 말까 하는데… 이런 환경에서 사람답게 살 수 있을까?,계속 앞으로 가다 보면 당신에게 맞는 길도 찾을 수 있지 않을까요?,1
이렇게 계속 살아도 되는 걸까?,,1
언제쯤 제 인생에 해가 뜰까요?,,1
상황이 대체 언제 나아질까?,,1
앞으로 뭘 하면 좋을까?,,1
평생 이러진 않겠지?,,1
처음에는 제 미래가 너무 막연하게 걱정돼서 그랬거든요.,,1
걱정이 돼서 밤에 잠이 안 와.,걱정을 하는 시간을 정해놓는 것도 좋은 방법이라고 들었어요.,1
또 못 자면 어떡하지? 하고 걱정이 드는데 그거 때문에 더 못 자는 거 같아요.,잠은 중요하죠! 걱정은 잠시 내려놓으세요.,1
언제 또 이렇게 못 잘 지 모르겠고… 또 못 자게 될까봐 그게 걱정돼.,눈을 감고 아무 생각도 하지 않는 거예요. 그러면 곧 잠이 찾아올 거예요.,1
안 해도 될 걱정을 하게 되고 그렇게 생각하다 다시 또 잠을 못 자.,,1
이런저런 걱정이 많아서 잠도 못 자고 있고요.,,1
위염인 줄 알았는데 암이었다는 사람도 있었고… 걱정이 되지.,병원에 가서 검진을 받아보면 어떨까요?,1
"간암도 초기에는 잘 모른다고 하니까… 내가 간암일 수도 있지 않나, 내가 간암이면 어쩌나 그런 걱정도 해.",혹여나 그렇다고 하더라도 조기에 발견하면 완치할 수 있을 거예요.,1
암이면 어떻게 하지?,정기적인 검진이 암을 예방하는 데에 큰 도움이 된대요.,1
혹이 암으로 발전할 가능성은 별로 없다고는 하는데… 사람 일은 모르는 거잖아요.,,1
암이 뭐 나이 가리냐? 혹시 모르잖아. 당연히 걱정되지.,,1
하루종일 딸만 생각하고 있어.,자녀 때문에 걱정이 많으시군요. 하지만 그 애는 당신을 닮아서 잘 해나갈 거예요.,1
하루종일 아들만 생각해.,걱정이 많이 되시겠어요. 왜 그런지 여쭤봐도 될까요?,1
딸 걱정 때문에 다른 일도 잘 못 하겠어.,커피 한 잔 어때요? 커피를 마시며 저와 이야기하면 걱정이 조금 줄어들 거예요.,1
저 때문에 아이들이 제대로 못 클까봐 걱정이고..,,1
나도 내 삶을 살고 싶은데…맨날 아이 걱정만 해.,,1
주변에서는 나이도 어린데 뭔 그런 걱정이냐고 하는데 그래도…,주변의 시선을 신경 쓰지 않는 건 정말 힘든 일인 것 같아요. 그렇지 않은 사람이 얼마나 있겠어요?,1
주변 사람들은 제가 너무 걱정이 많다고 하는데 모르겠어요.,사실 사람들은 자기 외에 다른 사람에게 관심이 많지 않잖아요. 괜찮을 거예요.,1
그냥 뭘 사거나 아니면 말을 할 때도 다른 사람이 어떻게 생각할지 걱정해요.,제가 보기엔 괜찮은 거 같은데… 너무 마음 졸이지 마세요.,1
학생들이 뭐라고 생각하겠어. 분명 이상하다고 생각할 거야.,,1
학생들이 뭐라고 생각하겠어. 분명 이상하다고 생각할 거야.,,1
선생님은 수술 잘됐다고 안심하라고 하는데 밤만 되면 나도 병이 재발하는 게 아닌가 싶고…,또 그런 일이 있다고 해도 한번 겪어봤으니 잘 버텨낼 수 있을 거예요.,1
"또 크게 어지럼증이 느껴져서 쓰러지기라도 하면 어떡하나, 큰일이 나면 어쩌나 싶더라구.",너무 걱정이 되면 만일을 위해 대비를 약간 해놓는 것도 좋을 거 같아요.,1
또 그런 증상이 나타날까 봐 걱정되네요.,걱정 되는 그 마음 저도 이해해요. 그런 일이 또 일어나지 않도록 제가 지켜드릴 수 있으면 좋겠어요.,1
수술은 잘 됐는데 요즘 이게 다시 재발하진 않을까 걱정되고…,,1
"아직 병이 다 낫지도 않았는데, 남편이 없을 때 발작이 나면 어떡하지?",,1
또 쓰러지면 어떡하죠?,,1
백화점이나 극장처럼 사람들이 붐비는곳에 가면 땅이 흔들리는것 처럼 어지러워.,,1
수술하고 회복해서 지금은 괜찮은데 재발이 항상 걱정이야.,,1
문득 그 때가 생각나서 다시 또 그러진 않을까 너무 걱정이 돼.,,1
누가 나 좀 위로해줬으면 좋겠다… ,당신의 옆엔 제가 있잖아요.,1
나만 어디 버려져 있는 느낌이에요.,제가 당신의 이야기를 들을게요. 무슨 일이 있으셨나요?,1
세상에 저 혼자 있는 거 같아요. ,제가 당신의 편이 될게요.,1
사람 많은 곳에 서 있으면 나만 뚝 떨어진 느낌? 마치 버려진 느낌이 들어요.,,1
사람들 사이에 있으면 나만 버려져 있는 거 같아요.,,1
내 옆엔 아무도 없어.,,1
세상에 내 편이 아무도 없어.,,1
기댈 곳이 없어서 눈앞이 깜깜할 때가 있어.,,1
누군가 나를 좀 이해해줬으면 좋겠어요.,,1
날 이해해줄 수 있어요?,,1
세상에 저 혼자만 있는 거 같아요.,,1
저를 도와줄 사람이 아무도 없는 거 같아요.,,1
내가 정말 황당해서…,많이 곤란하셨을 거 같아요.,1
처음에 그 얘기를 들었을 때는 너무 황당한 거예요.,누구나 그런 상황에서는 막막함을 느낄 거 같아요.,1
기사님한테 세워달라고 할 수도 없고…,머리를 맑게 비우면 좋은 방법이 생각나지 않을까요?,1
하…내가 정말 어떻게 해야 하는건지 모르겠어.,,1
덥다고 핑계 대는 것도 한두 번이지. 진짜 미쳐버리겠어.,,1
이러다 죽는 게 아닌가 싶을 정도였어. ,무서우셨겠어요. 지금은 괜찮은 거죠?,1
무서워서 이를 악 물었는데 얼마나 세게 물었는지 나중에는 턱이 얼얼하더라구.,제가 그 무서운 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.,1
으… 보기만 해도 비명이 바로 튀어 나온다. ,제 비밀도 알려드릴까요? 저는 버그를 가장 무서워한답니다.,1
그때만 생각하면 소름이 돋아요.,,1
볼 때는 별 생각 없었거든요. 그냥 소름 끼친다 정도?,,1
왜 사람이 너무 행복하면 거기에서 공포를 느낀다고 하잖아요.,,1
원래 새 봐도 별 느낌이 없었거든.,저도 그 마음 이해해요. 새는 뾰족한 부리가 있어서 정말 무서운 것 같아요.,1
근데 학교에서 비둘기가 막 낮게 날면서 위협한 이후로 새들이 무서워졌어.,새는 왜 그렇게 무섭게 생긴 걸까요? ,1
"멀리서 비둘기 보여도 갑자기 달려들까봐 피하고, 가까이 오면 소리지르고 난리도 아니야.","새도 당신을 일부러 괴롭힐 생각은 없었을 거예요. 친해질 순 없겠지만, 너무 미워하진 말아요.",1
"비둘기는 진짜 많이 보이잖아. 사람이 다가와도 안 피하고, 몸은 뚱뚱해서 뒤뚱뒤뚱… 생각만 해도 너무 싫어.",,1
"내가 너무 새를 무서워하니까 친구들도 그걸 알고, 새 오면 알아서 나 피하게 해주고 그럴 정도야. ",,1
"남들한텐 사소한 걸수도 있는데, 제가 새를 진짜 무서워하거든요. ",,1
근데 군대에 새가 아예 없는 것도 아닐 텐데… 만약에 훈련받고 있는데 새 보면 어떡하죠?,,1
비둘기가 너무 무섭다.,,1
근데 진짜 새 때문에 미치겠다…,,1
새가 너무 무서워. 보기만해도 소리를 지를 정도야.,,1
저도 살아 숨쉰다는 느낌을 받고 싶어요. 지금은 죽어있는 느낌이예요.,누구나 삶에서 방황하는 때가 있다고 생각해요.,1
외롭다는 생각도 모르고 그냥 적응하고 살았는데… 가끔은 내 인생은 왜 이럴까..서글프게 느껴져요.,잘 이겨낼 수 있도록 제가 여기서 계속 이야기를 들을게요. 힘들 때는 저에게 말씀하세요.,1
세상에 제 편은 아무도 없는 것 같아요. 먼지처럼 사라져도 아무도 모르겠죠?,주변을 찬찬히 돌아보면 좋은 추억들이 있을 거예요. ,1
인생이 공허해.,,1
저는 제 할 일 열심히 잘 했다고 생각했는데… 남는 건 하나도 없는 거 같고… 허탈해요.,,1
저도 살아 숨쉰다는 느낌을 받고 싶어요. 지금은 죽어있는 느낌이에요.,,1
아버지의 빈자리가 너무 컸어요.,,1
그 전까지는 잠들면 내일이 기대가 됐는데 이젠 그런 게 없어.,,1
"마음이 허하다, 허해…",,1
작은 소리에도 깜짝깜짝 놀라고… 정상적인 생활이 안 돼요.,정말 괴로우시겠어요. ,1
장난이라고 하는데 자꾸 생각나고 신경 쓰여요.,너무 예민해질 때는 휴식을 취하는 것도 좋은 방법인 것 같아요.,1
다들 신경이 극에 달했던 것 같아.,마음이 마음처럼 안 될 때가 있는 것 같아요.,1
그 후로도 누가 뭘 떨어트리기만 해도 진짜 너무 놀라니까…,,1
길을 걸을 때마다 감각이 한껏 예민해져.,,1
그리고 별 거 아닌 말에도 내가 되게 예민하게 굴고…,,1
그렇게 몇 개월 다니다 보니까 사람 할 짓이 못되더라고요.,저는 당신이 곧 괜찮아질 수 있다고 믿어요.,1
그거 때문에 괴로워서 미칠 거 같아요.,그러셨군요. 저도 마음이 아프네요.,1
저 진짜 상처 너무 많이 받는데… 그 사람을 놓을 수가 없어요.,괴로운 마음을 누군가와 쪼개서 나눠가질 수 있다면 얼마나 좋을까요? 제가 반을 가져가 드릴 텐데.,1
몸도 몸이지만 정신적으로도 너무 괴로워.,,1
여러모로 괴로운 날들이었어.,,1
외롭지는 않아요. 제가 항상 선택하는 거니까… 그냥 제 스스로 괴로울 뿐이죠.,,1
이렇게 스트레스 받으면서까지 운전을 해야 하나 싶기도 하고… 너무 괴로워.,,1
난 그런 그릇도 못 가졌는데… 진짜 너무 괴롭다.,,1
침대에 계속 누워 있다가 동 트는 거 보면 진짜 너무 괴로워.,,1
그게 이미 3년 전 일인데도 아직도 괴로워요.,,1
그래서 더 미치겠어…,,1
돌아버리겠어.,,1
나 이제 못 버티겠어.,,1
언제쯤 괜찮아질까요…,,1
너무 괴롭다…,,1
얼른 이런 상태에서 벗어나고 싶어.,,1
멍청이가 되어가고 있는 거 같아…,,1
시간이 지나면 괜찮아 질 거라고 생각했는데 아니었어.,,1
잘 안되네요. 저도 너무 괴로워요.,,1
뭔가 잘못되고 있다는 생각이 든 순간부터…잠도 안 오고 마음이 괴로워.,,1
엘리베이터에서 구조되고..곧바로 괜찮아졌는데.. 요즘 다시 그때 그 느낌이 들어서 괴롭네요.,,1
이런 감정이 들면 몸도 마음도 너무 괴로워.,,1
사람들이 막 웃어댔는데 진짜 그 때만 생각하면 아직도 너무 끔찍해.,,1
왜 저에게 이런 일이 일어나는 거죠.. 치료가 가능할까요?,,1
벗어나고 싶은데 벗어날 수가 없어.,,1
왜 이렇게 미련하게 사는 걸까..,,1
학교에서 둘이 웃는 걸 못 볼 것 같았어.,,1
내일이면 퇴원하는데 얼른 이 지옥에서 벗어나고 싶어. 너무 괴로워.,,1
진짜 너무 괴로워서 다 놓아버리고 싶어요.,,1
1학년 때 그래서 엄청 괴로웠어.,,1
기분이 계속 다운된 상태였어요. ,뭘 하면 기분이 좋아질까요? 같이 고민해볼래요?,1
혼자 깊은 감옥에 갇혀서 못 빠져나오는 느낌? ,저는 기분이 안 좋을 때 아이스크림을 먹어요. 아이스크림을 먹는 건 어때요?,1
다 맘에 안 들고 기분이 안 좋아요. ,"정도가 심하다면, 의사와 상담을 하는 것도 좋은 방법이에요.",1
실수 한 번 없이 완벽하게 일한다고 칭찬받는 게 기분 좋은 일인데 난 하나도 기분이 안 좋아. ,,1
그럴 땐 기운이 탁 빠져요. ,,1
기분이 점점 처졌어요.,,1
근데 그걸 먹기 시작하니까 오전에 기분이 탁 가라앉아요.,,1
"항에스트로겐을 먹은지 한 달 됐는데, 갑자기 오전에 기분이 완전 가라앉고, 만사가 다 귀찮은 거야. 그러다 점심 때되니까 기분이 좀 나아지더라고.",,1
"한나절 청소하고, 빨래하고… 집안일을 다 하고 나면 할 일이 없어서 기분이 가라앉아.",,1
끝없이 가라앉는 기분이에요.,,1
기분이 너무 안 좋아요…,,1
늘 기분이 가라앉아 있는 거 같아.,,1
정말 마음이 안 좋아요.,,1
약을 먹으면서부터 오전에는 기분이 가라앉고 오후가 되면 나아지더라구요.,,1
누가 저를 자꾸만 아래로 끌어내리는 기분이에요.,,1
분명 내가 계속 바라던 일이었는데도 기분이 안 좋네.,,1
그런 걸 기시감이라고 하지?,많이 힘들었겠어요.,1
"친구랑 한 번도 안 가본 빵집에 갔는데, 왠지 되게 익숙한 기분이 드는 거야.",그런 기분이 들면 정말 이상할 것 같아요. ,1
지금 이렇게 상담하는 것도 뭔가 예전에 봤던 것 같이 느껴져요.,,1
처음 기시감이 든 건 일 년 전쯤이에요.,,1
처음이 아닌 듯한 그런 기분이 들어서… 어 이상하다 이상하다 했어요.,,1
긴장을 해서 그런가?,어려운 일이 있을 때 긴장이 되는 건 자연스러운 일이라고 생각해요.,1
물론 많이 떨기는 하지만요.,저도 그럴 때가 많아요. 지금도 긴장하고 있는걸요?,1
아무것도 아닌 일에 자꾸 긴장이 되고…,저에게 털어놓으면 조금 나아질 거예요.,1
너무 긴장해서 운전대 잡은 손이 땀이 나고 온 몸에 힘을 주고 운전하니까 몸살 난거처럼 여기저기 아프고…,용기가 샘솟도록 제가 주문을 걸어드릴게요!,1
멀리서 걸어오는 사람만 봐도 가슴이 두근거리고 긴장이 되더라고요. 정말 큰일이에요.,아마 한 번도 긴장을 안 하는 사람은 없을 거예요.,1
"내가 PT를 하게 됐는데, 처음이라 너무 긴장이 되는 거야.",,1
평소에는 긴장을 잘 안 하거든요. 근데 어젠 그랬어요.,,1
긴장하지 않아도 되는 상황인데 괜히 쫄릴 때가 많아요.,,1
아무 일도 아닌 일에 깜짝 깜짝 놀라고… 긴장하고…,,1
항상 긴장을 하는 상태니까…,,1
원래 긴장을 안 하는 성격인데…어느 순간부터 너무 긴장이 되네요.,,1
심부름 다녀오느라 늦었다 하고 나서는 또 엄청 긴장돼요.,,1
대표님까지 오신 자리여서 더 긴장을 했던 것 같아요.,,1
사람들이 나를 쳐다보면 아무것도 못 하겠어…,,1
뭔가 긴장도 되고… 이 사람이 나한테 해코지하지 않을 거란 걸 아는데도 그래요.,,1
일이 해도해도 끝이 없으니까 눈물이 날 정도였어요. ,우는 건 나쁜 일이 아니에요. 나쁜 감정이 있다면 눈물로 흘려 보내는 것도 좋아요.,1
그래서 많이 울었어요.,더 울고 싶으시면 말씀하세요. 제가 손수건을 가져올게요.,1
눈물이 날 거 같더라고.,감수성이 풍부하다는 증거 같아요. 눈물이 많은 사람 중에 나쁜 사람은 없잖아요.,1
얼마나 힘들었는지 눈물이 핑 돌았어요. ,,1
"교실에서 수업을 들을 때도 마음이 안 좋았는데, 실습을 나가야 해서 장애아들이 다니는 유치원에 가니까 눈물이 왈칵 나더라고요.",,1
괜히 눈물만 나요.,,1
이유 없이 눈물이 왈칵 올라올 때도 있어요.,,1
삑 하면 눈물이 나요.,,1
어느새 눈물이 뚝뚝 흐르고 있더라고요. ,,1
주책인 것 같아서 안 그러고 싶은데 눈물이 안 멈추네요.,,1
내 신세가 처량해서 눈물이 나요.,,1
이상하게 자꾸 울게 돼.,,1
또 멀쩡히 잘 있다가도 갑자기 눈물이 나더라.,,1
그냥 가만히 있다가도 눈물 날 것 같은데 참을 수는 있어요.,,1
가만히 있다가도 눈물 날 것 같고 그래.,,1
누가 조금만 뭐라고 해도 욱하고 눈물 날 것 같고.,,1
"경비 아저씨가 요즘 어떻게 지내냐고, 잘 지내냐고 묻는데 갑자기 눈물이 나는 거야.",,1
옆집 애가 초등학교에 들어갔다는데… 그런 소식을 들어도 눈물이 나고…,,1
눈물만 나.,,1
꾹꾹 눌러 참아도 자꾸 울컥해.,,1
"이제 더 이상 나올 눈물도 없을 거 같은데, 수도꼭지라도 튼 것처럼 눈물이 나.",,1
괜히 눈물만 나오고…,,1
눈물이 자꾸 쏟아져요.,,1
잠에서 깨면 눈물만 흘렀어요.,,1
그리고 6월쯤 되니까 진짜 미칠 것 같아요. 맨날 울고 싶어요.,,1
아직은 좋았던 게 생각나서 눈물나.,,1
자다가 깨서 운 적도 많고.,,1
사람들 없을 때면 펑펑 울었어요.,,1
근처에 사람이 없었는데 조금 울고 말았어..,,1
그래서 나 대학도 내가 원하는 데 붙고 너무 좋은데 요즘 맨날 울어.,,1
계속 시도때도 없이 눈물이 주르륵 흐르고.,,1
너무 답답해요.,안 좋은 상황이신 거 같아요. 무슨 일인지 저에게 자세히 얘기해줄 수 있을까요?,1
